mission,patch,launch_date,launch_time,launch_site,commander,cm_pilot,lm_pilot,launch_vehicle,cm_name,lm_name,duration,remarks
Apollo 1,NA,1967-02-21,NA,Launch Complex 34,Gus Grissom,Ed White,Roger B. Chaffee,Saturn IB(AS-204),NA,NA,NA,"Never launched. On January 27, 1967, a fire in the command module during a launch pad test killed the crew and destroyed the module.  This flight was originally designated AS-204, and was renamed to Apollo 1 at the request of the crew's families."
Apollo 7,NA,1968-10-11,15H 2M 0S,Launch Complex 34,Wally Schirra,Donn F. Eisele,Walter Cunningham,Saturn IB(AS-205),NA,NA,936543s (~1.55 weeks),Test flight of Block II CSM in Earth orbit; included first live TV broadcast from American spacecraft.
Apollo 8,NA,1968-12-21,12H 51M 0S,Launch Complex 39A,Frank Borman,James Lovell,William Anders,"Saturn V
(AS-503)",NA,NA,529242s (~6.13 days),"First circumlunar flight of CSM, had ten lunar orbits in 20 hours.  First crewed flight of Saturn V."
Apollo 9,NA,1969-03-03,16H 0M 0S,Launch Complex 39A,James Mc Divitt,David Scott,Rusty Schweickart,"Saturn V
(AS-504)",Gumdrop,Spider,867654s (~1.43 weeks),"First crewed flight test of Lunar Module; tested propulsion, rendezvous and docking in Earth orbit. EVA tested the Portable Life Support System (PLSS)."
Apollo 10,NA,1969-05-18,16H 49M 0S,Launch Complex 39B,Thomas P. Stafford,John Young,Eugene Cernan,"Saturn V
(AS-505)",Charlie Brown,Snoopy,691403s (~1.14 weeks),"""Dress rehearsal"" for lunar landing. The LM descended to 8.4 nautical miles (15.6 km) from lunar surface."
Apollo 11,NA,1969-07-16,13H 32M 0S,Launch Complex 39A,Neil Armstrong,Michael Collins,Edwin Aldrin,"Saturn V
(AS-506)",Columbia,Eagle,703115s (~1.16 weeks),First crewed landing in Sea of Tranquility (Tranquility Base) including a single surface EVA.
Apollo 12,NA,1969-11-14,16H 22M 0S,Launch Complex 39A,Charles Conrad,Richard F. Gordon Jr.,Alan Bean,"Saturn V
(AS-507)",Yankee Clipper,Intrepid,880584s (~1.46 weeks),First precise Moon landing in Ocean of Storms near Surveyor 3 probe. Two surface EVAs and returned parts of Surveyor to Earth.
Apollo 13,NA,1970-04-11,19H 13M 0S,Launch Complex 39A,James Lovell,Jack Swigert,Fred Haise,"Saturn V
(AS-508)",Odyssey,Aquarius,514481s (~5.95 days),"Intended Fra Mauro landing cancelled after SM oxygen tank exploded. LM used as ""lifeboat"" for safe crew return. First S-IVB stage impact on Moon for active seismic test."
Apollo 14,NA,1971-01-31,21H 3M 0S,Launch Complex 39A,Alan Shepard,Stuart Roosa,Edgar Mitchell,"Saturn V
(AS-509)",Kitty Hawk,Antares,777718s (~1.29 weeks),Successful Fra Mauro landing. Broadcast first color TV images from lunar surface (other than a few moments at the start of the Apollo 12 moonwalk.)  Conducted first materials science experiments in space.  Conducted two surface EVAs.
Apollo 15,NA,1971-07-26,13H 34M 0S,Launch Complex 39A,David Scott,Alfred Worden,James Irwin,"Saturn V
(AS-510)",Endeavour,Falcon,1062713s (~1.76 weeks),"Landing at Hadley–Apennine.  First extended LM, three-day lunar stay. First use of Lunar Roving Vehicle.  Conducted three lunar surface EVAs and one deep space EVA on return to retrieve orbital camera film from SM."
Apollo 16,NA,1972-04-16,17H 54M 0S,Launch Complex 39A,John Young,Ken Mattingly,Charles Duke,"Saturn V
(AS-511)",Casper,Orion,957065s (~1.58 weeks),Landing in Descartes Highlands.  Conducted three lunar EVAs and one deep space EVA.
Apollo 17,NA,1972-12-07,5H 33M 0S,Launch Complex 39A,Eugene Cernan,Ronald Evans,Harrison Schmitt,"Saturn V
(AS-512)",America,Challenger,1086719s (~1.8 weeks),Landing at Taurus–Littrow. First professional geologist on the Moon.  First night launch.  Conducted three lunar EVAs and one deep space EVA.
